STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Water source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2001,,382.3,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2002,,368.4,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2003,,360.2,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2004,,342.5,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2005,,325.3,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2006,,318.1,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2007,,317.5,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2008,,319.8,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2009,,315.1,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2010,,313.5,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2011,,311.4,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2012,,309.8,,A,Normal value,,,,,,,6,Millions,1,One
