Country,Year,Measure_group,OBS_VALUE_abstraction
Croatia,2009,Industry & Manufacturing,102.345
Croatia,2009,Services,0.0
Croatia,2010,Agriculture & Fisheries,90.0
Croatia,2010,Domestic & Public Use,1013.97
Croatia,2010,Industry & Manufacturing,100.656
Croatia,2010,Services,0.0
Croatia,2011,Agriculture & Fisheries,90.0
Croatia,2011,Domestic & Public Use,1013.33102
Croatia,2011,Industry & Manufacturing,108.08099999999999
Croatia,2011,Services,0.0
Croatia,2012,Agriculture & Fisheries,90.0
Croatia,2012,Domestic & Public Use,996.51697
Croatia,2012,Industry & Manufacturing,106.14300000000001
Croatia,2012,Services,0.0
Croatia,2013,Agriculture & Fisheries,90.0
Croatia,2013,Domestic & Public Use,987.96899
Croatia,2013,Industry & Manufacturing,106.147
Croatia,2013,Services,0.0
Croatia,2014,Agriculture & Fisheries,90.0
Croatia,2014,Domestic & Public Use,911.501
Croatia,2014,Industry & Manufacturing,104.00599999999999
Croatia,2014,Services,0.0
